month,species,grade,price_index,housing_starts_index,mortgage_rate_pct,export_demand_index,log_supply_index,diesel_price_index,notes
2025-12,Hard Maple,FAS,135.0,117.5,6.27,85.7,105.5,101.8,"SYNTHETIC - generated for training, not market data"
2026-01,Hard Maple,FAS,106.8,114.3,6.23,93.2,102.9,105.1,"SYNTHETIC - generated for training, not market data"
2026-02,Hard Maple,FAS,116.6,113.3,6.44,101.1,94.1,99.2,"SYNTHETIC - generated for training, not market data"
2026-03,Hard Maple,FAS,105.2,112.0,6.12,98.7,95.2,96.0,"SYNTHETIC - generated for training, not market data"
2026-04,Hard Maple,FAS,110.9,113.7,6.4,96.9,96.2,105.9,"SYNTHETIC - generated for training, not market data"
2026-05,Hard Maple,FAS,108.9,113.7,6.16,98.5,96.2,109.7,"SYNTHETIC - generated for training, not market data"
2026-06,Hard Maple,FAS,110.4,115.2,6.18,95.5,86.6,91.1,"SYNTHETIC - generated for training, not market data"
2023-07,Red Oak,FAS,111.8,103.1,6.96,111.3,98.2,92.0,"SYNTHETIC - generated for training, not market data"
2023-08,Red Oak,FAS,104.6,107.5,6.74,102.1,101.4,105.0,"SYNTHETIC - generated for training, not market data"
2023-09,Red Oak,FAS,110.7,109.6,7.01,104.9,97.7,106.7,"SYNTHETIC - generated for training, not market data"
2023-10,Red Oak,FAS,100.9,110.5,6.92,97.4,107.9,104.6,"SYNTHETIC - generated for training, not market data"
2023-11,Red Oak,FAS,101.2,111.4,6.76,106.0,107.5,112.2,"SYNTHETIC - generated for training, not market data"
2023-12,Red Oak,FAS,108.1,115.6,6.74,107.3,105.4,98.1,"SYNTHETIC - generated for training, not market data"
2024-01,Red Oak,FAS,87.3,117.8,6.86,91.6,105.6,92.0,"SYNTHETIC - generated for training, not market data"
2024-02,Red Oak,FAS,106.3,119.4,6.64,102.3,102.6,94.5,"SYNTHETIC - generated for training, not market data"
2024-03,Red Oak,FAS,110.1,125.0,6.62,92.1,102.0,97.3,"SYNTHETIC - generated for training, not market data"
2024-04,Red Oak,FAS,102.1,130.5,6.82,96.1,101.5,87.8,"SYNTHETIC - generated for training, not market data"
2024-05,Red Oak,FAS,114.3,136.8,6.55,85.0,99.3,105.2,"SYNTHETIC - generated for training, not market data"
2024-06,Red Oak,FAS,110.8,139.3,6.77,118.8,96.7,105.2,"SYNTHETIC - generated for training, not market data"
2024-07,Red Oak,FAS,101.4,143.4,6.58,95.6,91.9,95.7,"SYNTHETIC - generated for training, not market data"
2024-08,Red Oak,FAS,119.9,146.7,6.7,109.7,96.1,98.1,"SYNTHETIC - generated for training, not market data"
2024-09,Red Oak,FAS,116.3,145.8,6.5,107.2,92.7,93.9,"SYNTHETIC - generated for training, not market data"
2024-10,Red Oak,FAS,121.7,149.0,6.5,95.9,94.1,96.0,"SYNTHETIC - generated for training, not market data"
2024-11,Red Oak,FAS,126.1,150.7,6.68,102.0,93.1,90.1,"SYNTHETIC - generated for training, not market data"
2024-12,Red Oak,FAS,134.9,156.4,6.73,88.4,88.9,97.5,"SYNTHETIC - generated for training, not market data"
2025-01,Red Oak,FAS,129.1,155.9,6.56,103.3,99.2,104.5,"SYNTHETIC - generated for training, not market data"
2025-02,Red Oak,FAS,129.2,153.6,6.54,97.0,98.9,99.7,"SYNTHETIC - generated for training, not market data"
2025-03,Red Oak,FAS,135.3,153.8,6.47,105.9,90.9,96.3,"SYNTHETIC - generated for training, not market data"
2025-04,Red Oak,FAS,120.4,150.7,6.48,97.4,105.4,99.0,"SYNTHETIC - generated for training, not market data"
2025-05,Red Oak,FAS,139.3,148.8,6.63,93.7,108.4,92.5,"SYNTHETIC - generated for training, not market data"
2025-06,Red Oak,FAS,124.1,143.2,6.53,98.5,103.7,114.2,"SYNTHETIC - generated for training, not market data"
2025-07,Red Oak,FAS,132.3,138.7,6.51,108.3,109.1,111.4,"SYNTHETIC - generated for training, not market data"
2025-08,Red Oak,FAS,120.8,136.0,6.32,105.1,103.0,105.8,"SYNTHETIC - generated for training, not market data"
2025-09,Red Oak,FAS,118.6,132.5,6.31,108.9,105.1,106.9,"SYNTHETIC - generated for training, not market data"
2025-10,Red Oak,FAS,119.8,127.8,6.21,101.9,107.4,93.0,"SYNTHETIC - generated for training, not market data"
2025-11,Red Oak,FAS,133.5,120.6,6.39,96.7,109.6,95.9,"SYNTHETIC - generated for training, not market data"
2025-12,Red Oak,FAS,123.5,117.5,6.23,85.7,105.5,101.8,"SYNTHETIC - generated for training, not market data"
2026-01,Red Oak,FAS,112.1,114.3,6.42,93.2,102.9,105.1,"SYNTHETIC - generated for training, not market data"
2026-02,Red Oak,FAS,110.1,113.3,6.34,101.1,94.1,99.2,"SYNTHETIC - generated for training, not market data"
2026-03,Red Oak,FAS,102.5,112.0,6.15,98.7,95.2,96.0,"SYNTHETIC - generated for training, not market data"
2026-04,Red Oak,FAS,108.1,113.7,6.4,96.9,96.2,105.9,"SYNTHETIC - generated for training, not market data"
2026-05,Red Oak,FAS,103.9,113.7,6.35,98.5,96.2,109.7,"SYNTHETIC - generated for training, not market data"
2026-06,Red Oak,FAS,111.8,115.2,6.2,95.5,86.6,91.1,"SYNTHETIC - generated for training, not market data"
2023-07,White Ash,FAS,95.0,103.1,6.82,111.3,98.2,92.0,"SYNTHETIC - generated for training, not market data"
2023-08,White Ash,FAS,99.7,107.5,6.82,102.1,101.4,105.0,"SYNTHETIC - generated for training, not market data"
2023-09,White Ash,FAS,97.4,109.6,6.99,104.9,97.7,106.7,"SYNTHETIC - generated for training, not market data"
2023-10,White Ash,FAS,98.0,110.5,6.87,97.4,107.9,104.6,"SYNTHETIC - generated for training, not market data"
2023-11,White Ash,FAS,106.3,111.4,6.91,106.0,107.5,112.2,"SYNTHETIC - generated for training, not market data"
2023-12,White Ash,FAS,104.4,115.6,6.86,107.3,105.4,98.1,"SYNTHETIC - generated for training, not market data"
2024-01,White Ash,FAS,106.9,117.8,6.81,91.6,105.6,92.0,"SYNTHETIC - generated for training, not market data"
2024-02,White Ash,FAS,110.0,119.4,6.8,102.3,102.6,94.5,"SYNTHETIC - generated for training, not market data"
2024-03,White Ash,FAS,111.5,125.0,6.81,92.1,102.0,97.3,"SYNTHETIC - generated for training, not market data"
2024-04,White Ash,FAS,100.8,130.5,6.68,96.1,101.5,87.8,"SYNTHETIC - generated for training, not market data"
2024-05,White Ash,FAS,110.2,136.8,6.54,85.0,99.3,105.2,"SYNTHETIC - generated for training, not market data"
2024-06,White Ash,FAS,101.9,139.3,6.67,118.8,96.7,105.2,"SYNTHETIC - generated for training, not market data"
2024-07,White Ash,FAS,111.9,143.4,6.82,95.6,91.9,95.7,"SYNTHETIC - generated for training, not market data"
2024-08,White Ash,FAS,123.5,146.7,6.54,109.7,96.1,98.1,"SYNTHETIC - generated for training, not market data"
2024-09,White Ash,FAS,114.8,145.8,6.5,107.2,92.7,93.9,"SYNTHETIC - generated for training, not market data"
2024-10,White Ash,FAS,115.7,149.0,6.61,95.9,94.1,96.0,"SYNTHETIC - generated for training, not market data"
2024-11,White Ash,FAS,119.5,150.7,6.59,102.0,93.1,90.1,"SYNTHETIC - generated for training, not market data"
2024-12,White Ash,FAS,118.4,156.4,6.66,88.4,88.9,97.5,"SYNTHETIC - generated for training, not market data"
2025-01,White Ash,FAS,119.7,155.9,6.54,103.3,99.2,104.5,"SYNTHETIC - generated for training, not market data"
2025-02,White Ash,FAS,116.8,153.6,6.57,97.0,98.9,99.7,"SYNTHETIC - generated for training, not market data"
2025-03,White Ash,FAS,127.5,153.8,6.37,105.9,90.9,96.3,"SYNTHETIC - generated for training, not market data"
2025-04,White Ash,FAS,126.4,150.7,6.44,97.4,105.4,99.0,"SYNTHETIC - generated for training, not market data"
2025-05,White Ash,FAS,120.5,148.8,6.47,93.7,108.4,92.5,"SYNTHETIC - generated for training, not market data"
2025-06,White Ash,FAS,123.0,143.2,6.49,98.5,103.7,114.2,"SYNTHETIC - generated for training, not market data"
2025-07,White Ash,FAS,123.3,138.7,6.53,108.3,109.1,111.4,"SYNTHETIC - generated for training, not market data"
2025-08,White Ash,FAS,124.2,136.0,6.28,105.1,103.0,105.8,"SYNTHETIC - generated for training, not market data"
2025-09,White Ash,FAS,119.1,132.5,6.36,108.9,105.1,106.9,"SYNTHETIC - generated for training, not market data"
2025-10,White Ash,FAS,118.7,127.8,6.33,101.9,107.4,93.0,"SYNTHETIC - generated for training, not market data"
2025-11,White Ash,FAS,113.2,120.6,6.44,96.7,109.6,95.9,"SYNTHETIC - generated for training, not market data"
2025-12,White Ash,FAS,108.1,117.5,6.27,85.7,105.5,101.8,"SYNTHETIC - generated for training, not market data"
2026-01,White Ash,FAS,108.9,114.3,6.22,93.2,102.9,105.1,"SYNTHETIC - generated for training, not market data"
2026-02,White Ash,FAS,112.9,113.3,6.22,101.1,94.1,99.2,"SYNTHETIC - generated for training, not market data"
2026-03,White Ash,FAS,111.5,112.0,6.36,98.7,95.2,96.0,"SYNTHETIC - generated for training, not market data"
2026-04,White Ash,FAS,106.4,113.7,6.25,96.9,96.2,105.9,"SYNTHETIC - generated for training, not market data"
2026-05,White Ash,FAS,102.7,113.7,6.21,98.5,96.2,109.7,"SYNTHETIC - generated for training, not market data"
2026-06,White Ash,FAS,106.2,115.2,6.24,95.5,86.6,91.1,"SYNTHETIC - generated for training, not market data"
2023-07,Basswood,FAS,104.9,103.1,6.93,111.3,98.2,92.0,"SYNTHETIC - generated for training, not market data"
2023-08,Basswood,FAS,104.1,107.5,7.05,102.1,101.4,105.0,"SYNTHETIC - generated for training, not market data"
2023-09,Basswood,FAS,99.0,109.6,6.85,104.9,97.7,106.7,"SYNTHETIC - generated for training, not market data"
2023-10,Basswood,FAS,100.6,110.5,6.92,97.4,107.9,104.6,"SYNTHETIC - generated for training, not market data"
2023-11,Basswood,FAS,98.0,111.4,6.92,106.0,107.5,112.2,"SYNTHETIC - generated for training, not market data"
2023-12,Basswood,FAS,99.3,115.6,6.71,107.3,105.4,98.1,"SYNTHETIC - generated for training, not market data"
2024-01,Basswood,FAS,102.8,117.8,6.69,91.6,105.6,92.0,"SYNTHETIC - generated for training, not market data"
2024-02,Basswood,FAS,102.6,119.4,6.74,102.3,102.6,94.5,"SYNTHETIC - generated for training, not market data"
2024-03,Basswood,FAS,105.9,125.0,6.83,92.1,102.0,97.3,"SYNTHETIC - generated for training, not market data"
2024-04,Basswood,FAS,107.1,130.5,6.56,96.1,101.5,87.8,"SYNTHETIC - generated for training, not market data"
2024-05,Basswood,FAS,106.4,136.8,6.7,85.0,99.3,105.2,"SYNTHETIC - generated for training, not market data"
2024-06,Basswood,FAS,108.8,139.3,6.73,118.8,96.7,105.2,"SYNTHETIC - generated for training, not market data"
2024-07,Basswood,FAS,105.3,143.4,6.74,95.6,91.9,95.7,"SYNTHETIC - generated for training, not market data"
2024-08,Basswood,FAS,105.3,146.7,6.49,109.7,96.1,98.1,"SYNTHETIC - generated for training, not market data"
2024-09,Basswood,FAS,109.9,145.8,6.55,107.2,92.7,93.9,"SYNTHETIC - generated for training, not market data"
2024-10,Basswood,FAS,116.3,149.0,6.67,95.9,94.1,96.0,"SYNTHETIC - generated for training, not market data"
2024-11,Basswood,FAS,111.2,150.7,6.61,102.0,93.1,90.1,"SYNTHETIC - generated for training, not market data"
2024-12,Basswood,FAS,107.2,156.4,6.46,88.4,88.9,97.5,"SYNTHETIC - generated for training, not market data"
2025-01,Basswood,FAS,111.4,155.9,6.51,103.3,99.2,104.5,"SYNTHETIC - generated for training, not market data"
2025-02,Basswood,FAS,114.7,153.6,6.52,97.0,98.9,99.7,"SYNTHETIC - generated for training, not market data"
2025-03,Basswood,FAS,109.8,153.8,6.64,105.9,90.9,96.3,"SYNTHETIC - generated for training, not market data"
2025-04,Basswood,FAS,114.3,150.7,6.43,97.4,105.4,99.0,"SYNTHETIC - generated for training, not market data"
2025-05,Basswood,FAS,110.3,148.8,6.54,93.7,108.4,92.5,"SYNTHETIC - generated for training, not market data"
2025-06,Basswood,FAS,115.0,143.2,6.38,98.5,103.7,114.2,"SYNTHETIC - generated for training, not market data"
2025-07,Basswood,FAS,113.1,138.7,6.39,108.3,109.1,111.4,"SYNTHETIC - generated for training, not market data"
2025-08,Basswood,FAS,111.5,136.0,6.39,105.1,103.0,105.8,"SYNTHETIC - generated for training, not market data"
2025-09,Basswood,FAS,114.5,132.5,6.22,108.9,105.1,106.9,"SYNTHETIC - generated for training, not market data"
2025-10,Basswood,FAS,107.5,127.8,6.49,101.9,107.4,93.0,"SYNTHETIC - generated for training, not market data"
2025-11,Basswood,FAS,106.2,120.6,6.32,96.7,109.6,95.9,"SYNTHETIC - generated for training, not market data"
2025-12,Basswood,FAS,111.8,117.5,6.49,85.7,105.5,101.8,"SYNTHETIC - generated for training, not market data"
2026-01,Basswood,FAS,103.9,114.3,6.43,93.2,102.9,105.1,"SYNTHETIC - generated for training, not market data"
2026-02,Basswood,FAS,110.1,113.3,6.2,101.1,94.1,99.2,"SYNTHETIC - generated for training, not market data"
2026-03,Basswood,FAS,103.7,112.0,6.1,98.7,95.2,96.0,"SYNTHETIC - generated for training, not market data"
2026-04,Basswood,FAS,100.5,113.7,6.22,96.9,96.2,105.9,"SYNTHETIC - generated for training, not market data"
2026-05,Basswood,FAS,102.9,113.7,6.33,98.5,96.2,109.7,"SYNTHETIC - generated for training, not market data"
2026-06,Basswood,FAS,103.0,115.2,6.32,95.5,86.6,91.1,"SYNTHETIC - generated for training, not market data"
